id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,tahun,kategori,jumlah,satuan
1,1,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,2020,JAGUNG,0.0,HA
1,2,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,2020,KEDELAI,0.0,HA
1,3,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,2020,PADI,0.0,HA
2,4,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,2020,JAGUNG,0.0,HA
2,5,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,2020,KEDELAI,0.0,HA
2,6,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,2020,PADI,0.0,HA
3,7,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2020-01,2020,JAGUNG,0.0,HA
3,8,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2020-01,2020,KEDELAI,0.0,HA
3,9,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2020-01,2020,PADI,0.0,HA
4,10,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2020-01,2020,JAGUNG,0.0,HA
4,11,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2020-01,2020,KEDELAI,0.0,HA
4,12,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2020-01,2020,PADI,0.0,HA
5,13,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2020-01,2020,JAGUNG,0.0,HA
5,14,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2020-01,2020,KEDELAI,0.0,HA
5,15,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2020-01,2020,PADI,0.0,HA
6,16,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2020-01,2020,JAGUNG,0.0,HA
6,17,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2020-01,2020,KEDELAI,0.0,HA
6,18,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2020-01,2020,PADI,0.0,HA
7,19,35,JAWA TIMUR,3507,KABUPATEN MALANG,2020-01,2020,JAGUNG,0.0,HA
7,20,35,JAWA TIMUR,3507,KABUPATEN MALANG,2020-01,2020,KEDELAI,0.0,HA
7,21,35,JAWA TIMUR,3507,KABUPATEN MALANG,2020-01,2020,PADI,0.0,HA
8,22,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2020-01,2020,JAGUNG,0.0,HA
8,23,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2020-01,2020,KEDELAI,0.0,HA
8,24,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2020-01,2020,PADI,0.0,HA
9,25,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,2020,JAGUNG,0.0,HA
9,26,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,2020,KEDELAI,0.0,HA
9,27,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,2020,PADI,98.56,HA
10,28,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,2020,JAGUNG,0.0,HA
10,29,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,2020,KEDELAI,0.0,HA
10,30,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,2020,PADI,0.0,HA
11,31,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,2020,JAGUNG,0.0,HA
11,32,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,2020,KEDELAI,0.0,HA
11,33,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,2020,PADI,0.0,HA
12,34,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,2020,JAGUNG,0.0,HA
12,35,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,2020,KEDELAI,0.0,HA
12,36,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,2020,PADI,0.0,HA
13,37,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2020-01,2020,JAGUNG,0.0,HA
13,38,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2020-01,2020,KEDELAI,0.0,HA
13,39,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2020-01,2020,PADI,0.0,HA
14,40,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2020-01,2020,JAGUNG,0.0,HA
14,41,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2020-01,2020,KEDELAI,0.0,HA
14,42,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2020-01,2020,PADI,0.0,HA
15,43,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,2020,JAGUNG,0.0,HA
15,44,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,2020,KEDELAI,0.0,HA
15,45,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,2020,PADI,0.0,HA
16,46,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2020-01,2020,JAGUNG,0.0,HA
16,47,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2020-01,2020,KEDELAI,0.0,HA
16,48,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2020-01,2020,PADI,0.0,HA
17,49,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,2020,JAGUNG,0.0,HA
17,50,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,2020,KEDELAI,0.0,HA
17,51,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,2020,PADI,0.0,HA
18,52,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,2020,JAGUNG,0.0,HA
18,53,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,2020,KEDELAI,0.0,HA
18,54,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,2020,PADI,0.0,HA
19,55,35,JAWA TIMUR,3519,KABUPATEN MADIUN,2020-01,2020,JAGUNG,0.0,HA
19,56,35,JAWA TIMUR,3519,KABUPATEN MADIUN,2020-01,2020,KEDELAI,0.0,HA
19,57,35,JAWA TIMUR,3519,KABUPATEN MADIUN,2020-01,2020,PADI,0.0,HA
20,58,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,2020,JAGUNG,0.0,HA
20,59,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,2020,KEDELAI,0.0,HA
20,60,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,2020,PADI,0.0,HA
21,61,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,2020,JAGUNG,0.0,HA
21,62,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,2020,KEDELAI,0.0,HA
21,63,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,2020,PADI,0.0,HA
22,64,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-01,2020,JAGUNG,0.0,HA
22,65,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-01,2020,KEDELAI,0.0,HA
22,66,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-01,2020,PADI,0.0,HA
23,67,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2020-01,2020,JAGUNG,0.0,HA
23,68,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2020-01,2020,KEDELAI,0.0,HA
