prov_rank,kabupaten,kecamatan,mean_lsi,median_lsi,std_lsi,iqr_lsi,pct_critical_area,pct_severe_area,n_pixels_1km2,intra_kab_rank,kab_total_kec,kab_mean_lsi,intra_kab_delta,intra_kab_zscore,risk_category
1,Bondowoso,Pujer,0.9837629795074463,1.0,0.04104284569621086,0.0,100.0,97.22222222222221,36,1,17,0.7410174660822925,0.24274551342515382,1.3826873538150601,Extreme Priority (Tier 1)
2,Bondowoso,Tenggarang,0.9786932468414307,1.0,0.05568058043718338,0.0,100.0,91.30434782608695,23,2,17,0.7410174660822925,0.2376757807591382,1.3538099704780278,Extreme Priority (Tier 1)
3,Bondowoso,Bondowoso,0.9645897150039673,1.0,0.06922253221273422,0.04087698459625244,95.0,95.0,20,3,17,0.7410174660822925,0.22357224892167482,1.273475735498227,Extreme Priority (Tier 1)
4,Bondowoso,Tapen,0.9524722695350647,1.0,0.08172363042831421,0.058500707149505615,93.87755102040816,89.79591836734694,49,4,17,0.7410174660822925,0.21145480345277223,1.2044543213679049,Extreme Priority (Tier 1)
5,Bondowoso,Wonosari,0.9359071254730225,0.9761925935745239,0.07766851037740707,0.11260485649108887,97.22222222222221,83.33333333333334,36,5,17,0.7410174660822925,0.19488965939073,1.1100986528098014,Extreme Priority (Tier 1)
6,Lamongan,Blubuk,0.8851944208145142,0.8787381649017334,0.0886271595954895,0.14467889070510864,90.38461538461539,63.46153846153846,52,1,25,0.6764296876887481,0.20876473312576604,1.6704624236854502,Extreme Priority (Tier 1)
7,Lamongan,Sambeng,0.8781217336654663,0.8793619871139526,0.08122073858976364,0.12907642126083374,94.9438202247191,58.98876404494382,178,2,25,0.6764296876887481,0.2016920459767182,1.6138692532774488,Extreme Priority (Tier 1)
8,Ngawi,Geneng,0.8720927834510803,0.8783587217330933,0.12223903089761734,0.1909623146057129,80.43478260869566,54.347826086956516,92,1,16,0.7481553852558136,0.12393739819526672,1.6140756613047802,Extreme Priority (Tier 1)
9,Bojonegoro,Baureno,0.8670632839202881,1.0,0.24484699964523315,0.1755082607269287,78.48101265822784,72.15189873417721,79,1,23,0.7530349026555601,0.11402838126472803,1.4201528976882243,Extreme Priority (Tier 1)
10,Jombang,Mojoagung,0.863274097442627,0.8730775713920593,0.1086820438504219,0.15867626667022705,83.63636363636363,61.81818181818181,55,1,20,0.6710116803646088,0.19226241707801817,1.7947800357564268,Extreme Priority (Tier 1)
11,Mojokerto,Damarblandong,0.8605543971061707,0.8645932674407959,0.07351893931627274,0.09013664722442627,91.02564102564102,61.53846153846154,78,1,17,0.6392107851365033,0.22134361196966734,1.6228874922155099,Extreme Priority (Tier 1)
12,Bojonegoro,Ngasem,0.8516664505004883,0.85434889793396,0.10534442216157913,0.16630303859710693,81.4207650273224,50.81967213114754,183,2,23,0.7530349026555601,0.09863154784492822,1.2283948690831539,Extreme Priority (Tier 1)
13,Ngawi,Widodaren,0.8478701710700989,0.862563967704773,0.12033774703741074,0.1846368908882141,78.76106194690266,54.86725663716814,226,2,16,0.7481553852558136,0.09971478581428528,1.2986169727516819,Extreme Priority (Tier 1)
14,Jombang,Sumobito,0.838641345500946,0.9008203744888306,0.1750866323709488,0.27302008867263794,72.0,56.00000000000001,50,2,20,0.6710116803646088,0.16762966513633726,1.5648319674726023,Extreme Priority (Tier 1)
