id_kec,kabupaten,kecamatan,mean_lsi,crop_fraction,crop_density_pct,mean_asi,zone,zone_name,prov_rank
3525040.0,Gresik,Balongpanggang,0.7517,0.9863,98.63,0.7414,1,Zone 1: Critical Emergency,1
3524120.0,Lamongan,Tikung,0.7448,0.9655,96.55,0.7302,1,Zone 1: Critical Emergency,2
3516170.0,Mojokerto,Damarblandong,0.8606,0.8205,82.05,0.7075,1,Zone 1: Critical Emergency,3
3522080.0,Bojonegoro,Kepohbaru,0.8052,0.875,87.5,0.7034,1,Zone 1: Critical Emergency,4
3524050.0,Lamongan,Kambangbahu,0.7068,0.9836,98.36,0.6947,1,Zone 1: Critical Emergency,5
3511090.0,Bondowoso,Tenggarang,0.9787,0.6957,69.57,0.6743,1,Zone 1: Critical Emergency,6
3524060.0,Lamongan,Sugio,0.7852,0.8472,84.72,0.6601,1,Zone 1: Critical Emergency,7
3506180.0,Kediri,Pagu,0.7903,0.8197,81.97,0.6556,1,Zone 1: Critical Emergency,8
3524080.0,Lamongan,Modo,0.8101,0.8228,82.28,0.6556,1,Zone 1: Critical Emergency,9
3524100.0,Lamongan,Sukodadi,0.6751,0.9545,95.45,0.6414,1,Zone 1: Critical Emergency,10
3506150.0,Kediri,Plemahan,0.8127,0.7708,77.08,0.6235,1,Zone 1: Critical Emergency,11
3519120.0,Madiun,Balerejo,0.7823,0.8113,81.13,0.62,1,Zone 1: Critical Emergency,12
3522100.0,Bojonegoro,Kanor,0.7296,0.8235,82.35,0.619,1,Zone 1: Critical Emergency,13
3506170.0,Kediri,Papar,0.8049,0.7619,76.19,0.6131,1,Zone 1: Critical Emergency,14
3525050.0,Gresik,Benjeng,0.6736,0.9057,90.57,0.611,1,Zone 1: Critical Emergency,15
3517050.0,Jombang,Ngoro,0.7111,0.8491,84.91,0.602,1,Zone 1: Critical Emergency,16
3519140.0,Madiun,Sawahan,0.6381,0.9286,92.86,0.5977,1,Zone 1: Critical Emergency,17
3522090.0,Bojonegoro,Baureno,0.8671,0.6835,68.35,0.5969,1,Zone 1: Critical Emergency,18
3517060.0,Jombang,Mojowarno,0.7373,0.8219,82.19,0.5944,1,Zone 1: Critical Emergency,19
3521050.0,Ngawi,Geneng,0.8721,0.6739,67.39,0.5944,1,Zone 1: Critical Emergency,20
3524130.0,Lamongan,Deket,0.593,0.9111,91.11,0.593,3,Zone 3: Rain-Shadow & Fodder,21
3524101.0,Lamongan,Pucuk,0.6716,0.8636,86.36,0.5855,1,Zone 1: Critical Emergency,22
3517100.0,Jombang,Sumobito,0.8386,0.7,70.0,0.5844,1,Zone 1: Critical Emergency,23
3506160.0,Kediri,Purwoasri,0.7446,0.7797,77.97,0.5763,1,Zone 1: Critical Emergency,24
3519010.0,Madiun,Kebonsari,0.7136,0.8,80.0,0.5752,1,Zone 1: Critical Emergency,25
3520130.0,Magetan,Karangmojo,0.6919,0.8039,80.39,0.5626,1,Zone 1: Critical Emergency,26
3522110.0,Bojonegoro,Sumberejo,0.7633,0.7391,73.91,0.5567,1,Zone 1: Critical Emergency,27
3506140.0,Kediri,Kunjang,0.737,0.75,75.0,0.551,1,Zone 1: Critical Emergency,28
3525030.0,Gresik,Kedamean,0.6779,0.806,80.6,0.5508,1,Zone 1: Critical Emergency,29
3517120.0,Jombang,Peterongan,0.7679,0.7143,71.43,0.5494,1,Zone 1: Critical Emergency,30
3524010.0,Lamongan,Blubuk,0.8852,0.6154,61.54,0.5337,1,Zone 1: Critical Emergency,31
3523090.0,Tuban,Plumpang,0.7571,0.6628,66.28,0.5318,1,Zone 1: Critical Emergency,32
3522170.0,Bojonegoro,Kalitidu,0.6853,0.7969,79.69,0.5317,1,Zone 1: Critical Emergency,33
3524070.0,Lamongan,Kedungpring,0.7534,0.7179,71.79,0.5239,1,Zone 1: Critical Emergency,34
3516070.0,Mojokerto,Kutorejo,0.6887,0.75,75.0,0.523,1,Zone 1: Critical Emergency,35
3516090.0,Mojokerto,Bangsal,0.7328,0.7143,71.43,0.5218,1,Zone 1: Critical Emergency,36
3522130.0,Bojonegoro,Kapas,0.7389,0.7024,70.24,0.5213,1,Zone 1: Critical Emergency,37
3518130.0,Nganjuk,Sukomoro,0.6588,0.8,80.0,0.5201,1,Zone 1: Critical Emergency,38
3521120.0,Ngawi,Paron,0.836,0.6263,62.63,0.5173,1,Zone 1: Critical Emergency,39
3518110.0,Nganjuk,Baron,0.8276,0.5938,59.38,0.5063,1,Zone 1: Critical Emergency,40
3511070.0,Bondowoso,Tapen,0.9525,0.5306,53.06,0.5058,1,Zone 1: Critical Emergency,41
3521060.0,Ngawi,Kwadungan,0.683,0.75,75.0,0.5037,1,Zone 1: Critical Emergency,42
3524040.0,Lamongan,Mantep,0.8145,0.6437,64.37,0.5036,1,Zone 1: Critical Emergency,43
3521070.0,Ngawi,Pangkur,0.7064,0.7353,73.53,0.5016,1,Zone 1: Critical Emergency,44
3509130.0,Jember,Balung,0.6874,0.7358,73.58,0.5013,1,Zone 1: Critical Emergency,45
3523100.0,Tuban,Widang,0.6801,0.7094,70.94,0.4989,1,Zone 1: Critical Emergency,46
3518060.0,Nganjuk,Tanjunganom,0.6777,0.7353,73.53,0.4962,1,Zone 1: Critical Emergency,47
3518050.0,Nganjuk,Pace,0.6907,0.7174,71.74,0.496,1,Zone 1: Critical Emergency,48
3524090.0,Lamongan,Babat,0.7791,0.6333,63.33,0.494,1,Zone 1: Critical Emergency,49
3517160.0,Jombang,Kesamben,0.6413,0.7547,75.47,0.4899,1,Zone 1: Critical Emergency,50
3511100.0,Bondowoso,Bondowoso,0.9646,0.5,50.0,0.4896,1,Zone 1: Critical Emergency,51
3518090.0,Nganjuk,Kertosono,0.6912,0.7059,70.59,0.4878,1,Zone 1: Critical Emergency,52
3509100.0,Jember,Janggawah,0.6612,0.75,75.0,0.4875,1,Zone 1: Critical Emergency,53
3524020.0,Lamongan,Ngimbang,0.8305,0.5895,58.95,0.4853,1,Zone 1: Critical Emergency,54
3517180.0,Jombang,Ploso,0.6073,0.7857,78.57,0.4853,1,Zone 1: Critical Emergency,55
3524011.0,Lamongan,Sukorame,0.73,0.6806,68.06,0.4836,1,Zone 1: Critical Emergency,56
3517110.0,Jombang,Jogoroto,0.8044,0.6,60.0,0.4825,1,Zone 1: Critical Emergency,57
3518080.0,Nganjuk,Ngronggot,0.7475,0.6346,63.46,0.4803,1,Zone 1: Critical Emergency,58
3524190.0,Lamongan,Sekaran,0.5625,0.8571,85.71,0.4738,3,Zone 3: Rain-Shadow & Fodder,59
3522150.0,Bojonegoro,Dander,0.7891,0.6154,61.54,0.4732,1,Zone 1: Critical Emergency,60
3518100.0,Nganjuk,Patianrowo,0.5676,0.8529,85.29,0.4731,3,Zone 3: Rain-Shadow & Fodder,61
3521130.0,Ngawi,Kedungalar,0.8327,0.5732,57.32,0.4721,1,Zone 1: Critical Emergency,62
3516100.0,Mojokerto,Dlanggu,0.6913,0.675,67.5,0.4666,1,Zone 1: Critical Emergency,63
3517010.0,Jombang,Bandar Kedungmulyo,0.6487,0.7073,70.73,0.4662,1,Zone 1: Critical Emergency,64
3516160.0,Mojokerto,Jetis,0.8238,0.5574,55.74,0.4647,1,Zone 1: Critical Emergency,65
3524200.0,Lamongan,Laren,0.6256,0.7582,75.82,0.462,1,Zone 1: Critical Emergency,66
3518070.0,Nganjuk,Prambon,0.5469,0.8511,85.11,0.4603,3,Zone 3: Rain-Shadow & Fodder,67
3511080.0,Bondowoso,Wonosari,0.9359,0.5,50.0,0.4575,1,Zone 1: Critical Emergency,68
3517140.0,Jombang,Megaluh,0.5808,0.7895,78.95,0.4531,3,Zone 3: Rain-Shadow & Fodder,69
3524140.0,Lamongan,Glagah,0.4592,0.918,91.8,0.4516,3,Zone 3: Rain-Shadow & Fodder,70
